"column","variable","label","value_labels","class","type","n_na","range"
"166","v1_eah_total_g","Visit 1 - EAH Total: Amount Consumed g - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","1","c(0.890000000000015, 389.65)"
"167","v1_eah_total_kcal","Visit 1 - EAH Total: Amount Consumed kcal - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","1","c(2.54052999999992, 839.33988)"
"168","v1_want_water","Visit 1 - How much do you want to drink water right now?","NULL","numeric","double","58","c(0, 100)"
"169","v1_want_brownies","Visit 1 - How much do you want to eat brownies right now?","NULL","numeric","double","54","c(0, 100)"
"170","v1_want_applesauce","Visit 1 - How much do you want to eat applesauce right now?","NULL","numeric","double","54","c(0, 100)"
"171","v1_want_carrots","Visit 1 - How much do you want to eat carrots right now?","NULL","numeric","double","54","c(0, 100)"
"172","v1_want_cars","Visit 1 - How much do you want to play with cars right now?","NULL","numeric","double","54","c(0, 100)"
"173","v1_want_cheese","Visit 1 - How much do you want to eat a cheese sandwich right now?","NULL","numeric","double","54","c(0, 100)"
"174","v1_want_cookies","Visit 1 - How much do you want to eat cookies right now?","NULL","numeric","double","54","c(0, 100)"
"175","v1_want_cornchip","Visit 1 - How much do you want to eat corn chips right now?","NULL","numeric","double","54","c(0, 100)"
"176","v1_want_toy","Visit 1 - How much do you want to play with this toy right now?","NULL","numeric","double","54","c(0, 100)"
"177","v1_want_connect4","Visit 1 - How much do you want to play connect 4 right now?","NULL","numeric","double","54","c(0, 100)"
"178","v1_want_crayons","Visit 1 - How much do you want to play with crayons and paper right now?","NULL","numeric","double","54","c(0, 100)"
"179","v1_want_ham","Visit 1 - How much do you want to eat a ham and cheese sandwich right now?","NULL","numeric","double","54","c(0, 100)"
"180","v1_want_dino","Visit 1 - How much do you want to play with a dinosaur right now?","NULL","numeric","double","54","c(0, 100)"
"181","v1_want_hershey","Visit 1 - How much do you want to eat Hershey kisses right now?","NULL","numeric","double","54","c(0, 100)"
"182","v1_want_icecream","Visit 1 - How much do you want to eat ice cream right now?","NULL","numeric","double","54","c(0, 100)"
"183","v1_want_jenga","Visit 1 - How much do you want to play jenga right now?","NULL","numeric","double","54","c(0, 100)"
"184","v1_want_legos","Visit 1 - How much do you want to play with legos right now?","NULL","numeric","double","54","c(0, 100)"
"185","v1_want_elephant","Visit 1 - How much do you want to play with an elephant right now?","NULL","numeric","double","54","c(0, 100)"
"186","v1_want_oreos","Visit 1 - How much do you want to eat oreos right now?","NULL","numeric","double","54","c(0, 100)"
"187","v1_want_pbj_sndwch","Visit 1 - How much do you want to eat a PBJ sandwich right now?","NULL","numeric","double","54","c(0, 100)"
"188","v1_want_popcorn","Visit 1 - How much do you want to eat popcorn right now?","NULL","numeric","double","54","c(0, 100)"
"189","v1_want_chips","Visit 1 - How much do you want to eat potato chips right now?","NULL","numeric","double","54","c(0, 100)"
"190","v1_want_pretzels","Visit 1 - How much do you want to eat pretzels right now?","NULL","numeric","double","54","c(0, 100)"
"191","v1_want_skittles","Visit 1 - How much do you want to eat skittles right now?","NULL","numeric","double","54","c(0, 100)"
"192","v1_want_trains","Visit 1 - How much do you want to play with trains right now?","NULL","numeric","double","54","c(0, 100)"
"193","v1_want_trucks","Visit 1 - How much do you want to play with trucks right now?","NULL","numeric","double","54","c(0, 100)"
"194","v1_want_starbursts","Visit 1 - How much do you want to eat starbursts right now?","NULL","numeric","double","54","c(0, 100)"
"195","v1_want_turkey_sndwch","Visit 1 - How much do you want to eat a turkey sandwich right now?","NULL","numeric","double","54","c(0, 100)"
"196","v2_date","date from participant contacts databases ('verified_visit_dates*.csv) converted to format yyyy-mm-dd in R. If no date in database, uses start_date metadata from qualtrics","NULL","character","character","0","c(""2018-02-14"", ""2022-06-17"")"
"197","v2_freddy_pre_meal","Visit 2 - Freddy Score - Pre-Meal","NULL","numeric","double","0","c(0, 150)"
"198","v2_freddy_post_meal","Visit 2 - Freddy Score - Post-Meal","NULL","numeric","double","0","c(1, 150)"
"199","v2_vas_mac_cheese","Visit 2 - VAS Macaroni and Cheese","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"200","v2_vas_chkn_nug","Visit 2 - VAS Chicken Nugget","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"201","v2_vas_broccoli","Visit 2 - VAS Broccoli","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"202","v2_vas_grape","Visit 2 - VAS Grape","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"203","v2_vas_water","Visit 2 - VAS Water","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"204","v2_rank_mac_cheese","Visit 2 - Ranking - Macaroni and cheese","NULL","numeric","double","41","c(1, 4)"
"205","v2_rank_chkn_nug","Visit 2 - Ranking - Chicken nugget","NULL","numeric","double","41","c(1, 4)"
"206","v2_rank_broccoli","Visit 2 - Ranking - Broccoli","NULL","numeric","double","41","c(1, 4)"
"207","v2_rank_grape","Visit 2 - Ranking - Grapes","NULL","numeric","double","41","c(1, 4)"
"208","v2_meal_start","Visit 2 - Meal Start Time","NULL","character","character","0","c(""1:08"", ""6:14"")"
"209","v2_meal_end","Visit 2 - Meal End Time","NULL","character","character","0","c("" 11:46"", ""6:27"")"
"210","v2_meal_ps","Visit 2 - Visit 2 Portion Size Meal Condition","c(ps1 = 0, ps2 = 1, ps3 = 2, ps4 = 3)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 3)"
"211","v2_meal_dur","Visit 2 - Meal Duration","NULL","numeric","double","0","c(1, 30)"
"212","v2_noplate_chkn_nug_g","Visit 2 - Chicken Nugget: Pre-Weight w/o Plate","NULL","numeric","double","0","c(93.11, 210.41)"
"213","v2_plate_chkn_nug_g","Visit 2 - Chicken Nuggets: Pre-Weight w/ Plate","NULL","numeric","double","0","c(291.88, 550.9)"
"214","v2_post_chkn_nug_g","Visit 2 - Chicken Nuggets: Post-Weight","NULL","numeric","double","0","c(144.52, 550.6)"
"215","v2_consumed_chkn_nug_kcal","Visit 2 - ps_meal chkn_nug: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 509.95)"
"216","v2_consumed_chkn_nug_g","Visit 2 - Chicken Nuggets: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 203.98)"
"217","v2_noplate_mac_cheese_g","Visit 2 - Mac and Cheese: Pre-Weight w/o Plate","NULL","numeric","double","0","c(269.86, 513.86)"
"218","v2_plate_mac_cheese_g","Visit 2 - Mac and Cheese: Pre-Weight w/ Plate","NULL","numeric","double","0","c(591.67, 864.29)"
"219","v2_post_mac_cheese_g","Visit 2 - Mac and Cheese: Post-Weight","NULL","numeric","double","0","c(329.18, 855.56)"
"220","v2_consumed_mac_cheese_kcal","Visit 2 - ps_meal mac_cheese: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 656.863)"
"221","v2_consumed_mac_cheese_g","Visit 2 - Mac and Cheese: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 386.39)"
"222","v2_noplate_grapes_g","Visit 2 - Grapes: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(198.85, 401.46)"
"223","v2_plate_grapes_g","Visit 2 - Grapes: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(366.76, 580.92)"
"224","v2_post_grapes_g","Visit 2 - Grapes: Post-Weight","NULL","numeric","double","0","c(173, 579.19)"
"225","v2_consumed_grapes_kcal","Visit 2 - ps_meal grapes: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 230.9068)"
"226","v2_consumed_grapes_g","Visit 2 - Grapes: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 332.24)"
"227","v2_noplate_margerine_g","Visit 2 - Margarine: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(18.36, 32.86)"
"228","v2_noplate_broccoli_g","Visit 2 - Broccoli: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(163.71, 382.47)"
"229","v2_plate_broccoli_g","Visit 2 - Broccoli: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(341.11, 567.12)"
"230","v2_post_broccoli_g","Visit 2 - Broccoli: Post-Weight","NULL","numeric","double","0","c(166.69, 564.09)"
"231","v2_consumed_broccoli_kcal","Visit 2 - ps_meal broccoli: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 196.77857)"
"232","v2_consumed_broccoli_g","Visit 2 - Broccoli: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 196.19)"
"233","v2_noplate_ketchup_g","Visit 2 - Ketchup: Pre-Weight of Container","NULL","numeric","double","0","c(47.07, 54.93)"
"234","v2_plate_ketchup_g","Visit 2 - Ketchup: Pre-Weight of Ketchup w/ Container","NULL","numeric","double","0","c(49.26, 58.4)"
"235","v2_post_ketchup_g","Visit 2 - Ketchup: Post-Weight","NULL","numeric","double","0","c(4.82, 54.81)"
"236","v2_consumed_ketchup_kcal","Visit 2 - ps_meal ketchup: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 53.55363)"
"237","v2_consumed_ketchup_g","Visit 2 - Ketchup: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 45.89)"
"238","v2_noplate_water_g","Visit 2 - Water: Pre-Weight of Container","NULL","numeric","double","0","c(217.15, 288.01)"
"239","v2_plate_water_g","Visit 2 - Water: Pre-Weight of Water w/ Container","NULL","numeric","double","0","c(253.62, 331.13)"
"240","v2_post_water_g","Visit 2 - Water: Post-Weight","NULL","numeric","double","0","c(43.46, 304.97)"
"241","v2_total_g","Visit 2 - ps_meal Total: Amount Consumed g - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","0","c(29.87, 865.21)"
"242","v2_total_kcal","Visit 2 - ps_meal Total: Amount Consumed kcal - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","0","c(16.28873, 1095.78833)"
"243","v2_consumed_water_g","Visit 2 - Water: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 272.11)"
"244","v3_date","date from participant contacts databases ('verified_visit_dates*.csv) converted to format yyyy-mm-dd in R. If no date in database, uses start_date metadata from qualtrics","NULL","character","character","2","c(""2018-02-28"", ""2022-06-24"")"
"245","v3_freddy_pre_meal","Visit 3 - Freddy Score - Pre-Meal","NULL","numeric","double","2","c(0, 148)"
"246","v3_freddy_post_meal","Visit 3 - Freddy Score - Post-Meal","NULL","numeric","double","2","c(53, 150)"
"247","v3_vas_mac_cheese","Visit 3 - VAS Macaroni and Cheese","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 5)"
"248","v3_vas_chkn_nug","Visit 3 - VAS Chicken Nugget","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 5)"
"249","v3_vas_broccoli","Visit 3 - VAS Broccoli","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 5)"
"250","v3_vas_grape","Visit 3 - VAS Grape","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 5)"
"251","v3_vas_water","Visit 3 - VAS Water","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 5)"
"252","v3_rank_mac_cheese","Visit 3 - Ranking - Macaroni and cheese","NULL","numeric","double","41","c(1, 4)"
"253","v3_rank_chkn_nug","Visit 3 - Ranking - Chicken nugget","NULL","numeric","double","41","c(1, 4)"
"254","v3_rank_broccoli","Visit 3 - Ranking - Broccoli","NULL","numeric","double","41","c(1, 4)"
"255","v3_rank_grape","Visit 3 - Ranking - Grapes","NULL","numeric","double","41","c(1, 4)"
"256","v3_meal_start","Visit 3 - Meal start time","NULL","character","character","2","c(""1:01"", ""6:29"")"
"257","v3_meal_end","Visit 3 - Meal end time","NULL","character","character","2","c(""  5:19"", ""6:44"")"
"258","v3_meal_dur","Visit 3 - Meal Duration","NULL","numeric","double","2","c(1, 30)"
"259","v3_meal_ps","Visit 3 - Visit 3 Portion Size Meal Condition","c(ps1 = 0, ps2 = 1, ps3 = 2, ps4 = 3)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(0, 3)"
"260","v3_noplate_chkn_nug_g","Visit 3 - Chicken Nugget: Pre-Weight w/o Plate","NULL","numeric","double","2","c(95.91, 221.19)"
"261","v3_plate_chkn_nug_g","Visit 3 - Chicken Nuggets: Pre-Weight w/ Plate","NULL","numeric","double","2","c(328.64, 566.25)"
"262","v3_post_chkn_nug_g","Visit 3 - Chicken Nuggets: Post-Weight","NULL","numeric","double","2","c(269.62, 556.96)"
"263","v3_consumed_chkn_nug_g","Visit 3 - Chicken Nuggets: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","2","c(0, 201.5)"
"264","v3_consumed_chkn_nug_kcal","Visit 3 - ps_meal chkn_nug: Amount Consumed kcal - calculated in R","NULL","numeric","double","2","c(0, 503.75)"
"265","v3_noplate_mac_cheese_g","Visit 3 - Mac and Cheese: Pre-Weight w/o Plate","NULL","numeric","double","2","c(270.04, 514.95)"
"266","v3_plate_mac_cheese_g","Visit 3 - Mac and Cheese: Pre-Weight w/ Plate","NULL","numeric","double","2","c(591.68, 865.67)"
"267","v3_post_mac_cheese_g","Visit 3 - Mac and Cheese: Post-Weight","NULL","numeric","double","2","c(329.72, 856.78)"
"268","v3_consumed_mac_cheese_g","Visit 3 - Mac and Cheese: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","2","c(2.95000000000005, 428.87)"
"269","v3_consumed_mac_cheese_kcal","Visit 3 - ps_meal mac_cheese: Amount Consumed kcal - calculated in R","NULL","numeric","double","2","c(5.01500000000008, 729.079)"
"270","v3_noplate_grapes_g","Visit 3 - Grapes: Pre-Weight w/o Bowl","NULL","numeric","double","2","c(199.24, 402.97)"
"271","v3_plate_grapes_g","Visit 3 - Grapes: Pre-Weight w/ Bowl","NULL","numeric","double","2","c(359.22, 585.45)"
"272","v3_post_grapes_g","Visit 3 - Grapes: Post-Weight","NULL","numeric","double","2","c(169.5, 579.57)"
"273","v3_consumed_grapes_g","Visit 3 - Grapes: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","2","c(0, 322.05)"
"274","v3_consumed_grapes_kcal","Visit 3 - ps_meal grapes: Amount Consumed kcal - calculated in R","NULL","numeric","double","2","c(0, 223.82475)"
"275","v3_noplate_margerine_g","Visit 3 - Margarine: Pre-Weight w/o Bowl","NULL","numeric","double","5","c(18.98, 32.02)"
"276","v3_noplate_broccoli_g","Visit 3 - Broccoli: Pre-Weight w/o Bowl","NULL","numeric","double","2","c(179.61, 398.78)"
"277","v3_plate_broccoli_g","Visit 3 - Broccoli: Pre-Weight w/ Bowl","NULL","numeric","double","2","c(341.85, 596.94)"
"278","v3_post_broccoli_g","Visit 3 - Broccoli: Post-Weight","NULL","numeric","double","2","c(164.75, 594.99)"
"279","v3_consumed_broccoli_g","Visit 3 - Broccoli: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","2","c(0, 381.96)"
"280","v3_consumed_broccoli_kcal","Visit 3 - ps_meal broccoli: Amount Consumed kcal - calculated in R","NULL","numeric","double","2","c(0, 383.10588)"
"281","v3_noplate_ketchup_g","Visit 3 - Ketchup: Pre-Weight of Container","NULL","numeric","double","2","c(38.79, 50.9)"
"282","v3_plate_ketchup_g","Visit 3 - Ketchup: Pre-Weight of Ketchup w/ Container","NULL","numeric","double","2","c(42.15, 54.54)"
"283","v3_post_ketchup_g","Visit 3 - Ketchup: Post-Weight","NULL","numeric","double","2","c(6.12, 54.54)"
"284","v3_consumed_ketchup_g","Visit 3 - Ketchup: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","2","c(0, 46.05)"
"285","v3_consumed_ketchup_kcal","Visit 3 - ps_meal ketchup: Amount Consumed kcal - calculated in R","NULL","numeric","double","2","c(0, 53.74035)"
"286","v3_noplate_water_g","Visit 3 - Water: Pre-Weight of Container","NULL","numeric","double","2","c(43.51, 298.38)"
"287","v3_plate_water_g","Visit 3 - Water: Pre-Weight of Container w/ Water","NULL","numeric","double","2","c(264.97, 327.34)"
"288","v3_post_water_g","Visit 3 - Water: Post-Weight","NULL","numeric","double","2","c(46.45, 326.24)"
"289","v3_consumed_water_g","Visit 3 - Water: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","2","c(0, 249.25)"
"290","v3_total_g","Visit 3 - ps_meal Total: Amount Consumed g - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","2","c(36.4399999999998, 1001.36)"
"291","v3_total_kcal","Visit 3 - ps_meal Total: Amount Consumed kcal - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","2","c(59.0002199999998, 1222.92117)"
"292","v4_date","date from participant contacts databases ('verified_visit_dates*.csv) converted to format yyyy-mm-dd in R. If no date in database, uses start_date metadata from qualtrics","NULL","character","character","4","c(""2018-03-07"", ""2022-07-01"")"
"293","v4_freddy_pre_meal","Visit 4 - Freddy Score - Pre-Meal","NULL","numeric","double","4","c(0, 127)"
"294","v4_freddy_post_meal","Visit 4 - Alien Decision Making Task:
Researcher:  Bring a bag of each snack into room and show to child, then say:  ""We're going to play a game now where you get to choose a prize for playing.  You can have Skittles or M&Ms.  Which one would you like?""","NULL","numeric","double","5","c(1, 150)"
"295","v4_vas_mac_cheese","Visit 4 - VAS Macaroni and Cheese","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","4","c(1, 5)"
"296","v4_vas_chkn_nug","Visit 4 - VAS Chicken Nugget","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","4","c(1, 5)"
"297","v4_vas_broccoli","Visit 4 - VAS Broccoli","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","4","c(1, 5)"
"298","v4_vas_grape","Visit 4 - VAS Grape","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","4","c(1, 5)"
"299","v4_vas_water","Visit 4 - VAS Water","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","4","c(1, 5)"
"300","v4_rank_mac_cheese","Visit 4 - Ranking - Macaroni and cheese","NULL","numeric","double","39","c(1, 4)"
"301","v4_rank_chkn_nug","Visit 4 - Ranking - Chicken nugget","NULL","numeric","double","39","c(1, 4)"
"302","v4_rank_broccoli","Visit 4 - Ranking - Broccoli","NULL","numeric","double","39","c(1, 4)"
"303","v4_rank_grape","Visit 4 - Ranking - Grapes","NULL","numeric","double","39","c(1, 4)"
"304","v4_meal_start","Visit 4 - Meal start time","NULL","character","character","4","c(""04.09"", ""6:14"")"
"305","v4_meal_end","Visit 4 - Meal end time","NULL","character","character","4","c(""0355"", ""6:42"")"
"306","v4_meal_dur","Visit 4 - Meal Duration","NULL","numeric","double","4","c(3, 30)"
"307","v4_meal_ps","Visit 4 - Visit 4 Portion Size Meal Condition","c(ps1 = 0, ps2 = 1, ps3 = 2, ps4 = 3)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","4","c(0, 3)"
"308","v4_noplate_chkn_nug_g","Visit 4 - Chicken Nugget: Pre-Weight w/o Plate","NULL","numeric","double","4","c(100.62, 212.34)"
"309","v4_plate_chkn_nug_g","Visit 4 - Chicken Nuggets: Pre-Weight w/ Plate","NULL","numeric","double","4","c(244.66, 560.73)"
"310","v4_post_chkn_nug_g","Visit 4 - Chicken Nuggets: Post-Weight","NULL","numeric","double","4","c(162.32, 539.49)"
"311","v4_consumed_chkn_nug_g","Visit 4 - Chicken Nuggets: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","4","c(0, 211.4)"
"312","v4_consumed_chkn_nug_kcal","Visit 4 - ps_meal chkn_nug: Amount Consumed kcal - calculated in R","NULL","numeric","double","4","c(0, 528.5)"
"313","v4_noplate_mac_cheese_g","Visit 4 - Mac and Cheese: Pre-Weight w/o Plate","NULL","numeric","double","4","c(236.72, 518.09)"
"314","v4_plate_mac_cheese_g","Visit 4 - Mac and Cheese: Pre-Weight w/ Plate","NULL","numeric","double","4","c(591.66, 865.78)"
"315","v4_post_mac_cheese_g","Visit 4 - Mac and Cheese: Post-Weight","NULL","numeric","double","4","c(328.54, 857.53)"
"316","v4_consumed_mac_cheese_g","Visit 4 - Mac and Cheese: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","4","c(0, 371.73)"
"317","v4_consumed_mac_cheese_kcal","Visit 4 - ps_meal mac_cheese: Amount Consumed kcal - calculated in R","NULL","numeric","double","4","c(0, 631.941)"
"318","v4_noplate_grapes_g","Visit 4 - Grapes: Pre-Weight w/o Bowl","NULL","numeric","double","4","c(198.29, 400.71)"
"319","v4_plate_grapes_g","Visit 4 - Grapes: Pre-Weight w/ Bowl","NULL","numeric","double","4","c(367.87, 579.43)"
"320","v4_post_grapes_g","Visit 4 - Grapes: Post-Weight","NULL","numeric","double","4","c(175.45, 577.86)"
"321","v4_consumed_grapes_g","Visit 4 - Grapes: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","4","c(0, 388.34)"
"322","v4_consumed_grapes_kcal","Visit 4 - ps_meal grapes: Amount Consumed kcal - calculated in R","NULL","numeric","double","4","c(0, 269.8963)"
"323","v4_noplate_margerine_g","Visit 4 - Margarine: Pre-Weight w/ Bowl","NULL","numeric","double","4","c(18.91, 35.25)"
"324","v4_noplate_broccoli_g","Visit 4 - Broccoli: Pre-Weight w/o Bowl","NULL","numeric","double","4","c(179.33, 362.71)"
"325","v4_plate_broccoli_g","Visit 4 - Broccoli: Pre-Weight w/ Bowl","NULL","numeric","double","4","c(254.35, 627.61)"
"326","v4_post_broccoli_g","Visit 4 - Broccoli: Post-Weight","NULL","numeric","double","4","c(179.28, 618.15)"
"327","v4_consumed_broccoli_g","Visit 4 - Broccoli: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","4","c(0, 255.87)"
"328","v4_consumed_broccoli_kcal","Visit 4 - ps_meal broccoli: Amount Consumed kcal - calculated in R","NULL","numeric","double","4","c(0, 256.63761)"
"329","v4_noplate_ketchup_g","Visit 4 - Ketchup: Pre-Weight of Container","NULL","numeric","double","4","c(44.3, 51.58)"
"330","v4_plate_ketchup_g","Visit 4 - Ketchup: Pre-Weight of Ketchup w/ Container","NULL","numeric","double","4","c(46.49, 53.67)"
"331","v4_post_ketchup_g","Visit 4 - Ketchup: Post-Weight","NULL","numeric","double","4","c(4.51, 53.58)"
"332","v4_consumed_ketchup_g","Visit 4 - Ketchup: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","4","c(0, 46.93)"
"333","v4_consumed_ketchup_kcal","Visit 4 - ps_meal ketchup: Amount Consumed kcal - calculated in R","NULL","numeric","double","4","c(0, 54.76731)"
"334","v4_noplate_water_g","Visit 4 - Water: Pre-Weight of Container","NULL","numeric","double","4","c(230.17, 513.33)"
"335","v4_plate_water_g","Visit 4 - Water: Pre-Weight of Container w/ Water","NULL","numeric","double","4","c(263.14, 574.43)"
"336","v4_post_water_g","Visit 4 - Water: Post-Weight","NULL","numeric","double","4","c(45.74, 455.36)"
"337","v4_consumed_water_g","Visit 4 - Water: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","4","c(0, 253.31)"
"338","v4_total_g","Visit 4 - ps_meal Total: Amount Consumed g - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","4","c(54.07, 852.23)"
"339","v4_total_kcal","Visit 4 - ps_meal Total: Amount Consumed kcal - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","4","c(52.9790799999999, 1101.12176)"
"340","v5_date","date from participant contacts databases ('verified_visit_dates*.csv) converted to format yyyy-mm-dd in R. If no date in database, uses start_date metadata from qualtrics","NULL","character","character","4","c(""2018-03-27"", ""2022-07-07"")"
"341","v5_freddy_pre_meal","Visit 5 - Freddy Score - Pre-Meal","NULL","numeric","double","5","c(0, 128)"
"342","v5_freddy_post_meal","Visit 5 - Freddy Score - Post-Meal","NULL","numeric","double","5","c(0, 150)"
"343","v5_vas_mac_cheese","Visit 5 - VAS Macaroni and Cheese","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(1, 5)"
"344","v5_vas_chkn_nug","Visit 5 - VAS Chicken Nugget","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(1, 5)"
"345","v5_vas_broccoli","Visit 5 - VAS Broccoli","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(1, 5)"
"346","v5_vas_grape","Visit 5 - VAS Grape","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(1, 5)"
"347","v5_vas_water","Visit 5 - VAS Water","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","5","c(1, 5)"
"348","v5_rank_mac_cheese","Visit 5 - Ranking - Macaroni and cheese","NULL","numeric","double","39","c(1, 4)"
"349","v5_rank_chkn_nug","Visit 5 - Ranking - Chicken nugget","NULL","numeric","double","39","c(1, 4)"
"350","v5_rank_broccoli","Visit 5 - Ranking - Broccoli","NULL","numeric","double","39","c(1, 4)"
"351","v5_rank_grape","Visit 5 - Ranking - Grapes","NULL","numeric","double","39","c(1, 4)"
"352","v5_meal_start","Visit 5 - Meal start time","NULL","character","character","4","c("""", ""613"")"
"353","v5_meal_end","Visit 5 - Meal end time","NULL","character","character","4","c("""", ""835"")"
"354","v5_meal_dur","Visit 5 - Meal Duration","NULL","numeric","double","5","c(4, 30)"
